,ParamName,Region0,Region1,Region2,Region3
0,gNaTs2_tbar_NaTs2_t_apical,"[-0.36787944117144233, -2.718281828459045]","[-2.718281828459045, -20.085536923187668]","[-20.085536923187668, -148.4131591025766]","[-148.4131591025766, -1096.6331584284585]"
1,gSKv3_1bar_SKv3_1_apical,"[-0.36787944117144233, -2.718281828459045]","[-2.718281828459045, -20.085536923187668]","[-20.085536923187668, -148.4131591025766]","[-148.4131591025766, -1096.6331584284585]"
2,gImbar_Im_apical,"[-0.36787944117144233, -2.718281828459045]","[-2.718281828459045, -20.085536923187668]","[-20.085536923187668, -148.4131591025766]","[-148.4131591025766, -1096.6331584284585]"
3,gIhbar_Ih_dend,"[2.943035529371539e-05, 0.00021746254627672362]","[0.00021746254627672362, 0.0016068429538550137]","[0.0016068429538550137, 0.01187305272820613]","[0.01187305272820613, 0.08773065267427668]"
4,gNaTa_tbar_NaTa_t_axonal,"[1.4714824482594169, 10.872866358780648]","[10.872866358780648, 80.34021948120605]","[80.34021948120605, 593.6383887470325]","[593.6383887470325, 4386.427356930625]"
5,gK_Tstbar_K_Tst_axonal,"[0.02618050831040686, 0.1934492446041164]","[0.1934492446041164, 1.4294073206755735]","[1.4294073206755735, 10.561970880693965]","[10.561970880693965, 78.04299535271967]"
6,gNap_Et2bar_Nap_Et2_axonal,"[2.060124870560077e-05, 0.0001522237823937065]","[0.0001522237823937065, 0.0011247900676985094]","[0.0011247900676985094, 0.008311136909744289]","[0.008311136909744289, 0.061411456871993675]"
7,gSK_E2bar_SK_E2_axonal,"[0.03577406837727574, 0.2643365981266714]","[0.2643365981266714, 1.9531979525584615]","[1.9531979525584615, 14.432289243770958]","[14.432289243770958, 106.64099485821701]"
8,gCa_HVAbar_Ca_HVA_axonal,"[0.0003163763194074404, 0.002337722372474779]","[0.002337722372474779, 0.017273561753941395]","[0.017273561753941395, 0.12763531682821588]","[0.12763531682821588, 0.9431045162484742]"
9,gK_Pstbar_K_Pst_axonal,"[0.1577592122753143, 1.165691669625406]","[1.165691669625406, 8.61336114091826]","[8.61336114091826, 63.64460867059433]","[63.64460867059433, 470.27358386150956]"
10,gCa_LVAstbar_Ca_LVAst_axonal,"[0.000593021659168365, 0.004381870307475981]","[0.004381870307475981, 0.03237788552017852]","[0.03237788552017852, 0.23924201247335347]","[0.23924201247335347, 1.767772651386675]"
11,g_pas_axonal,"[1.103638323514327e-05, 8.154845485377136e-05]","[8.154845485377136e-05, 0.0006025661076956301]","[0.0006025661076956301, 0.0044523947730772985]","[0.0044523947730772985, 0.03289899475285375]"
12,cm_axonal,"[0.36787944117144233, 2.718281828459045]","[2.718281828459045, 20.085536923187668]","[20.085536923187668, 148.4131591025766]","[148.4131591025766, 1096.6331584284585]"
13,gSKv3_1bar_SKv3_1_somatic,"[0.10438395203519091, 0.7712988774161118]","[0.7712988774161118, 5.699170674269886]","[5.699170674269886, 42.1114918295606]","[42.1114918295606, 311.16417553828296]"
14,gNaTs2_tbar_NaTs2_t_somatic,"[0.3678102798365021, 2.717770791475295]","[2.717770791475295, 20.08176084224611]","[20.08176084224611, 148.3852574286653]","[148.3852574286653, 1096.426991394674]"
15,gCa_LVAstbar_Ca_LVAst_somatic,"[0.002526596001965466, 0.01866915959785672]","[0.01866915959785672, 0.13794746758845292]","[0.13794746758845292, 1.0193015767164961]","[1.0193015767164961, 7.531676532086653]"
16,g_pas_somatic,"[1.103638323514327e-05, 8.154845485377136e-05]","[8.154845485377136e-05, 0.0006025661076956301]","[0.0006025661076956301, 0.0044523947730772985]","[0.0044523947730772985, 0.03289899475285375]"
17,cm_somatic,"[0.36787944117144233, 2.718281828459045]","[2.718281828459045, 20.085536923187668]","[20.085536923187668, 148.4131591025766]","[148.4131591025766, 1096.6331584284585]"
18,e_pas_all,"[-27.590958087858176, -203.87113713442838]","[-203.87113713442838, -1506.415269239075]","[-1506.415269239075, -11130.986932693246]","[-11130.986932693246, -82247.48688213438]"
