Name,mType,eType,Cluster
L4_ChC_cACint209_1,L4_ChC,cAC,4
L4_ChC_dNAC222_1,L4_ChC,dNAC,4
L4_ChC_cNAC187_1,L4_ChC,cNAC,4
L4_LBC_cACint209_1,L4_LBC,cAC,6
L4_LBC_cSTUT189_1,L4_LBC,cSTUT,6
L4_LBC_dNAC222_1,L4_LBC,dNAC,6
L4_LBC_cNAC187_1,L4_LBC,cNAC,6
L4_LBC_dSTUT214_1,L4_LBC,dSTUT,6
L4_SBC_cACint209_1,L4_SBC,cAC,3
L4_SBC_dNAC222_1,L4_SBC,dNAC,4
L4_SBC_bNAC219_1,L4_SBC,bNAC,4
L5_NGC_cACint209_1,L5_NGC,cAC,6
L5_NGC_cSTUT189_1,L5_NGC,cSTUT,6
L5_NGC_cNAC187_1,L5_NGC,cNAC,6
L5_NGC_bNAC219_1,L5_NGC,bNAC,6
L5_NBC_cSTUT189_1,L5_NBC,cSTUT,8
L5_NBC_dSTUT214_1,L5_NBC,dSTUT,8
L5_NBC_bSTUT213_1,L5_NBC,bSTUT,8
L5_NBC_cIR216_1,L5_NBC,cIR,5
L5_NBC_cACint209_1,L5_NBC,cAC,8
L5_NBC_cNAC187_1,L5_NBC,cNAC,5
L5_DBC_bNAC219_1,L5_DBC,bNAC,3
L5_DBC_bSTUT213_1,L5_DBC,bSTUT,5
L5_DBC_cIR216_1,L5_DBC,cIR,5
L5_DBC_cACint209_1,L5_DBC,cAC,3
L5_DBC_cNAC187_1,L5_DBC,cNAC,3
L5_BTC_cACint209_1,L5_BTC,cAC,6
L5_BTC_cNAC187_1,L5_BTC,cNAC,6
L4_NGC_cACint209_1,L4_NGC,cAC,7
L4_NGC_cSTUT189_1,L4_NGC,cSTUT,7
L4_NGC_cNAC187_1,L4_NGC,cNAC,7
L4_NGC_bNAC219_1,L4_NGC,bNAC,7
L5_MC_cSTUT189_1,L5_MC,cSTUT,3
L5_MC_bSTUT213_1,L5_MC,bSTUT,4
L5_MC_dNAC222_1,L5_MC,dNAC,3
L5_MC_cACint209_1,L5_MC,cAC,4
L5_MC_cNAC187_1,L5_MC,cNAC,3
L6_LBC_cSTUT189_1,L6_LBC,cSTUT,5
L6_LBC_bNAC219_1,L6_LBC,bNAC,3
L6_LBC_bSTUT213_1,L6_LBC,bSTUT,4
L6_LBC_cNAC187_1,L6_LBC,cNAC,9
L4_NBC_cACint209_1,L4_NBC,cAC,9
L4_NBC_cIR216_1,L4_NBC,cIR,4
L4_NBC_dNAC222_1,L4_NBC,dNAC,4
L4_NBC_cNAC187_1,L4_NBC,cNAC,5
L1_DLAC_cNAC187_1,L1_DLAC,cNAC,4
L23_LBC_cSTUT189_1,L23_LBC,cSTUT,6
L23_LBC_bNAC219_1,L23_LBC,bNAC,6
L23_LBC_dNAC222_1,L23_LBC,dNAC,6
L23_LBC_cACint209_1,L23_LBC,cAC,6
L23_LBC_cNAC187_1,L23_LBC,cNAC,6
L4_BTC_bSTUT213_1,L4_BTC,bSTUT,8
L4_BTC_dNAC222_1,L4_BTC,dNAC,8
L4_BTC_cACint209_1,L4_BTC,cAC,8
L4_BTC_cNAC187_1,L4_BTC,cNAC,8
L23_NBC_bNAC219_1,L23_NBC,bNAC,12
L23_NBC_cIR216_1,L23_NBC,cIR,6
L23_NBC_dNAC222_1,L23_NBC,dNAC,9
L23_NBC_cACint209_1,L23_NBC,cAC,9
L23_NBC_cNAC187_1,L23_NBC,cNAC,7
L23_SBC_cACint209_1,L23_SBC,cAC,4
L23_SBC_dNAC222_1,L23_SBC,dNAC,3
L23_SBC_bNAC219_1,L23_SBC,bNAC,5
L5_ChC_cACint209_1,L5_ChC,cAC,4
