Neuron,Cluster
L6_TPC_L1_cADpyr231_1,-1
L6_TPC_L1_cADpyr231_2,0
L6_TPC_L1_cADpyr231_3,0
L6_TPC_L1_cADpyr231_4,-1
L6_TPC_L1_cADpyr231_5,0
L4_SS_cADpyr230_1,-1
L4_SS_cADpyr230_2,0
L4_SS_cADpyr230_3,-1
L4_SS_cADpyr230_4,-1
L4_SS_cADpyr230_5,-1
L4_SP_cADpyr230_1,-1
L4_SP_cADpyr230_2,-1
L4_SP_cADpyr230_3,0
L4_SP_cADpyr230_4,1
L4_SP_cADpyr230_5,-1
L6_UTPC_cADpyr231_1,0
L6_UTPC_cADpyr231_2,0
L6_UTPC_cADpyr231_3,-1
L6_UTPC_cADpyr231_4,0
L6_UTPC_cADpyr231_5,-1
L23_PC_cADpyr229_1,0
L23_PC_cADpyr229_2,0
L23_PC_cADpyr229_3,-1
L23_PC_cADpyr229_4,0
L23_PC_cADpyr229_5,2
L5_UTPC_cADpyr232_1,0
L5_UTPC_cADpyr232_2,-1
L5_UTPC_cADpyr232_3,0
L5_UTPC_cADpyr232_4,0
L5_UTPC_cADpyr232_5,-1
L5_STPC_cADpyr232_1,0
L5_STPC_cADpyr232_2,1
L5_STPC_cADpyr232_3,0
L5_STPC_cADpyr232_4,1
L5_STPC_cADpyr232_5,0
L6_IPC_cADpyr231_1,0
L6_IPC_cADpyr231_2,0
L6_IPC_cADpyr231_3,-1
L6_IPC_cADpyr231_4,0
L6_IPC_cADpyr231_5,-1
L6_TPC_L4_cADpyr231_1,0
L6_TPC_L4_cADpyr231_2,0
L6_TPC_L4_cADpyr231_3,0
L6_TPC_L4_cADpyr231_4,0
L6_TPC_L4_cADpyr231_5,-1
L5_TTPC1_cADpyr232_1,0
L5_TTPC1_cADpyr232_2,0
L5_TTPC1_cADpyr232_3,0
L5_TTPC1_cADpyr232_4,0
L5_TTPC1_cADpyr232_5,0
L5_TTPC2_cADpyr232_1,0
L5_TTPC2_cADpyr232_2,0
L5_TTPC2_cADpyr232_3,0
L5_TTPC2_cADpyr232_4,0
L5_TTPC2_cADpyr232_5,0
L4_PC_cADpyr230_1,2
L4_PC_cADpyr230_2,-1
L4_PC_cADpyr230_3,-1
L4_PC_cADpyr230_4,-1
L4_PC_cADpyr230_5,-1
L6_BPC_cADpyr231_1,0
L6_BPC_cADpyr231_2,0
L6_BPC_cADpyr231_3,1
L6_BPC_cADpyr231_4,0
L6_BPC_cADpyr231_5,-1
