Neuron,Cluster
L4_ChC_cACint209_1,0
L4_ChC_dNAC222_1,0
L4_ChC_cNAC187_1,-1
L4_LBC_cACint209_1,-1
L4_LBC_cSTUT189_1,1
L4_LBC_dNAC222_1,2
L4_LBC_cNAC187_1,1
L4_LBC_dSTUT214_1,-1
L4_SBC_cACint209_1,-1
L4_SBC_dNAC222_1,-1
L4_SBC_bNAC219_1,3
L5_NGC_cACint209_1,4
L5_NGC_cSTUT189_1,4
L5_NGC_cNAC187_1,4
L5_NGC_bNAC219_1,4
L5_NBC_cSTUT189_1,-1
L5_NBC_dSTUT214_1,-1
L5_NBC_bSTUT213_1,-1
L5_NBC_cIR216_1,5
L5_NBC_cACint209_1,-1
L5_NBC_cNAC187_1,5
L5_DBC_bNAC219_1,6
L5_DBC_bSTUT213_1,7
L5_DBC_cIR216_1,7
L5_DBC_cACint209_1,6
L5_DBC_cNAC187_1,6
L5_BTC_cACint209_1,8
L5_BTC_cNAC187_1,8
L4_NGC_cACint209_1,-1
L4_NGC_cSTUT189_1,9
L4_NGC_cNAC187_1,-1
L4_NGC_bNAC219_1,-1
L5_MC_cSTUT189_1,10
L5_MC_bSTUT213_1,11
L5_MC_dNAC222_1,10
L5_MC_cACint209_1,11
L5_MC_cNAC187_1,6
L6_LBC_cSTUT189_1,-1
L6_LBC_bNAC219_1,12
L6_LBC_bSTUT213_1,-1
L6_LBC_cNAC187_1,-1
L4_NBC_cACint209_1,-1
L4_NBC_cIR216_1,3
L4_NBC_dNAC222_1,3
L4_NBC_cNAC187_1,-1
L1_DLAC_cNAC187_1,-1
L23_LBC_cSTUT189_1,4
L23_LBC_bNAC219_1,4
L23_LBC_dNAC222_1,4
L23_LBC_cACint209_1,4
L23_LBC_cNAC187_1,4
L4_BTC_bSTUT213_1,-1
L4_BTC_dNAC222_1,-1
L4_BTC_cACint209_1,-1
L4_BTC_cNAC187_1,-1
L23_NBC_bNAC219_1,-1
L23_NBC_cIR216_1,-1
L23_NBC_dNAC222_1,-1
L23_NBC_cACint209_1,-1
L23_NBC_cNAC187_1,-1
L23_SBC_cACint209_1,-1
L23_SBC_dNAC222_1,13
L23_SBC_bNAC219_1,-1
L5_ChC_cACint209_1,0
L5_ChC_dNAC222_1,14
L5_ChC_cNAC187_1,0
L1_NGC-SA_cNAC187_1,-1
L23_MC_cACint209_1,-1
L23_MC_dNAC222_1,-1
L23_MC_cNAC187_1,-1
L23_MC_bNAC219_1,-1
L1_DAC_cNAC187_1,-1
L1_DAC_bNAC219_1,12
L6_ChC_cACint209_1,0
L6_ChC_dNAC222_1,0
L6_ChC_cNAC187_1,14
L4_MC_cACint209_1,12
L4_MC_dNAC222_1,15
L4_MC_cNAC187_1,15
L4_MC_bNAC219_1,12
L5_BP_cNAC187_1,16
L5_BP_bNAC219_1,16
L5_BP_cACint209_1,16
L5_BP_dSTUT214_1,16
L5_LBC_cSTUT189_1,-1
L5_LBC_dSTUT214_1,-1
L5_LBC_cIR216_1,-1
L5_LBC_dNAC222_1,-1
L5_LBC_cACint209_1,-1
L5_LBC_cNAC187_1,-1
L6_NGC_cACint209_1,4
L6_NGC_cSTUT189_1,4
L6_NGC_cNAC187_1,4
L6_NGC_bNAC219_1,4
L4_DBC_bNAC219_1,17
L4_DBC_bSTUT213_1,18
L4_DBC_cIR216_1,18
L4_DBC_cACint209_1,17
L4_DBC_cNAC187_1,18
L5_SBC_cACint209_1,-1
L5_SBC_dNAC222_1,-1
L5_SBC_bNAC219_1,-1
L4_BP_cNAC187_1,-1
L4_BP_bNAC219_1,19
L4_BP_cACint209_1,19
L4_BP_dSTUT214_1,-1
L23_ChC_cACint209_1,20
L23_ChC_dNAC222_1,20
L23_ChC_cNAC187_1,20
L6_SBC_cACint209_1,21
L6_SBC_dNAC222_1,21
L6_SBC_bNAC219_1,21
L6_MC_bNAC219_1,22
L6_MC_bSTUT213_1,2
L6_MC_cIR216_1,-1
L6_MC_cACint209_1,-1
L6_MC_cNAC187_1,22
L1_NGC-DA_cACint209_1,-1
L1_NGC-DA_cSTUT189_1,-1
L1_NGC-DA_cNAC187_1,-1
L1_NGC-DA_bNAC219_1,-1
L6_DBC_bNAC219_1,23
L6_DBC_bSTUT213_1,23
L6_DBC_cIR216_1,23
L6_DBC_cACint209_1,23
L6_DBC_cNAC187_1,-1
L23_DBC_cACint209_1,13
L23_DBC_bNAC219_1,13
L23_BP_cNAC187_1,-1
L23_BP_bNAC219_1,-1
L23_BP_cACint209_1,-1
L23_BP_dSTUT214_1,-1
L6_NBC_cSTUT189_1,-1
L6_NBC_dSTUT214_1,-1
L6_NBC_bSTUT213_1,-1
L6_NBC_cIR216_1,-1
L6_NBC_cACint209_1,-1
L6_NBC_cNAC187_1,-1
L1_HAC_cIR216_1,-1
L1_HAC_cNAC187_1,-1
L1_HAC_bNAC219_1,-1
L23_NGC_cACint209_1,-1
L23_NGC_cSTUT189_1,-1
L23_NGC_cNAC187_1,-1
L23_NGC_bNAC219_1,9
L1_SLAC_cACint209_1,24
L1_SLAC_cNAC187_1,24
L1_SLAC_bNAC219_1,-1
L23_BTC_cACint209_1,-1
L23_BTC_bNAC219_1,-1
L23_BTC_cNAC187_1,4
L6_BTC_cACint209_1,-1
L6_BTC_cNAC187_1,-1
L6_BP_cNAC187_1,16
L6_BP_bNAC219_1,-1
L6_BP_cACint209_1,16
L6_BP_dSTUT214_1,16
