Modified Cell,i_cell,Name,PC1,PC2
L6_TPC_L1_cADpyr231_1,1,L6_TPC_L1_cADpyr231_1,-4.2233432074211965,0.8123436617030992
L6_TPC_L1_cADpyr231_1,2,L6_TPC_L1_cADpyr231_2,0.6465869505071238,-1.0327049365714194
L6_TPC_L1_cADpyr231_1,3,L6_TPC_L1_cADpyr231_3,-2.421698958850014,-1.284652572412025
L6_TPC_L1_cADpyr231_1,4,L6_TPC_L1_cADpyr231_4,-0.8562020432585223,-0.821505710637865
L6_TPC_L1_cADpyr231_1,5,L6_TPC_L1_cADpyr231_5,0.38194445013600087,-1.3206920089384542
L4_SS_cADpyr230_1,1,L4_SS_cADpyr230_1,4.111105772325063,0.7530761687201297
L4_SS_cADpyr230_1,2,L4_SS_cADpyr230_2,3.7397390460166084,0.6468903421835158
L4_SS_cADpyr230_1,3,L4_SS_cADpyr230_3,-3.389582284524857,5.6909395068020565
L4_SS_cADpyr230_1,4,L4_SS_cADpyr230_4,-2.769052367134249,6.50686941875552
L4_SS_cADpyr230_1,5,L4_SS_cADpyr230_5,-3.414544254148337,7.1967611602887995
L4_SP_cADpyr230_1,1,L4_SP_cADpyr230_1,-0.8166951853500701,2.1965434155439487
L4_SP_cADpyr230_1,2,L4_SP_cADpyr230_2,0.28033135277623494,1.620524310710977
L4_SP_cADpyr230_1,3,L4_SP_cADpyr230_3,-1.2818160172697717,0.6573720786662756
L4_SP_cADpyr230_1,4,L4_SP_cADpyr230_4,0.13248719649430438,1.509631892347182
L4_SP_cADpyr230_1,5,L4_SP_cADpyr230_5,0.35147128439171393,1.4673982297713413
L6_UTPC_cADpyr231_1,1,L6_UTPC_cADpyr231_1,0.11089917758774355,-0.5624848425870356
L6_UTPC_cADpyr231_1,2,L6_UTPC_cADpyr231_2,0.6120928036501994,0.1518677799298687
L6_UTPC_cADpyr231_1,3,L6_UTPC_cADpyr231_3,0.40943921101947844,0.8949597075278233
L6_UTPC_cADpyr231_1,4,L6_UTPC_cADpyr231_4,-2.2888604682427047,0.5426791440822563
L6_UTPC_cADpyr231_1,5,L6_UTPC_cADpyr231_5,-2.0104039257720885,-0.29046463586765653
L23_PC_cADpyr229_1,1,L23_PC_cADpyr229_1,-1.0362981828314575,0.16269476485016285
L23_PC_cADpyr229_1,2,L23_PC_cADpyr229_2,1.3839986276223804,1.6800348994615688
L23_PC_cADpyr229_1,3,L23_PC_cADpyr229_3,-1.5852938751725862,0.29230526565988973
L23_PC_cADpyr229_1,4,L23_PC_cADpyr229_4,-3.615884760577107,-0.439871557746803
L23_PC_cADpyr229_1,5,L23_PC_cADpyr229_5,-1.687975694792989,-0.5661370367951831
L5_UTPC_cADpyr232_1,1,L5_UTPC_cADpyr232_1,-2.2949977625354867,1.47794056722572
L5_UTPC_cADpyr232_1,2,L5_UTPC_cADpyr232_2,-2.431190857778672,0.5094182433549506
L5_UTPC_cADpyr232_1,3,L5_UTPC_cADpyr232_3,-0.35085447146759136,1.5644455465836378
L5_UTPC_cADpyr232_1,4,L5_UTPC_cADpyr232_4,-1.0255979829622857,1.2715780435745794
L5_UTPC_cADpyr232_1,5,L5_UTPC_cADpyr232_5,-0.9244550464609541,-0.4211523664131857
L5_STPC_cADpyr232_1,1,L5_STPC_cADpyr232_1,-2.4808489080636167,-5.2965919535981385
L5_STPC_cADpyr232_1,2,L5_STPC_cADpyr232_2,-3.1044586119986994,2.1380408876396033
L5_STPC_cADpyr232_1,3,L5_STPC_cADpyr232_3,0.5154410160133762,-2.5024921579087165
L5_STPC_cADpyr232_1,4,L5_STPC_cADpyr232_4,-4.568923673321139,1.5223197102198405
L5_STPC_cADpyr232_1,5,L5_STPC_cADpyr232_5,0.22471716849979015,-1.5596440931524407
L6_IPC_cADpyr231_1,1,L6_IPC_cADpyr231_1,-1.5044874997243993,-1.0696106752861274
L6_IPC_cADpyr231_1,2,L6_IPC_cADpyr231_2,1.7383115481622429,1.1717301790991705
L6_IPC_cADpyr231_1,3,L6_IPC_cADpyr231_3,-3.6791769789540902,0.229682349874738
