Modified Cell,i_cell,Name,PC1,PC2
L6_TPC_L1_cADpyr231_1,1,L6_TPC_L1_cADpyr231_1,26.467379035701608,56.10109108251814
L6_TPC_L1_cADpyr231_1,2,L6_TPC_L1_cADpyr231_2,-18.789437049210658,-13.50751492925708
L6_TPC_L1_cADpyr231_1,3,L6_TPC_L1_cADpyr231_3,-6.54518154926118,-0.9973361438048236
L6_TPC_L1_cADpyr231_1,4,L6_TPC_L1_cADpyr231_4,-9.465803215879568,-2.1018437791800166
L6_TPC_L1_cADpyr231_1,5,L6_TPC_L1_cADpyr231_5,-18.645907234412896,-12.859910611343505
L4_SS_cADpyr230_1,1,L4_SS_cADpyr230_1,-20.469329939004364,-13.160474717135077
L4_SS_cADpyr230_1,2,L4_SS_cADpyr230_2,-20.483849279139097,-13.53155375800313
L4_SS_cADpyr230_1,3,L4_SS_cADpyr230_3,-18.691353999072785,-9.837560155345383
L4_SS_cADpyr230_1,4,L4_SS_cADpyr230_4,-17.74554764532496,-8.96340707102274
L4_SS_cADpyr230_1,5,L4_SS_cADpyr230_5,-17.890436086437862,-11.666871724116119
L4_SP_cADpyr230_1,1,L4_SP_cADpyr230_1,-18.25439105729863,-13.925519806358325
L4_SP_cADpyr230_1,2,L4_SP_cADpyr230_2,-24.8950737141221,-20.087670874718448
L4_SP_cADpyr230_1,3,L4_SP_cADpyr230_3,-11.952480416568605,-1.7234174092636712
L4_SP_cADpyr230_1,4,L4_SP_cADpyr230_4,-24.798910594766774,-19.915889971592883
L4_SP_cADpyr230_1,5,L4_SP_cADpyr230_5,-25.676694785362486,-21.50496429244926
L6_UTPC_cADpyr231_1,1,L6_UTPC_cADpyr231_1,-12.634495412647265,0.6188182150696422
L6_UTPC_cADpyr231_1,2,L6_UTPC_cADpyr231_2,-21.091950399229532,-17.059496889165988
L6_UTPC_cADpyr231_1,3,L6_UTPC_cADpyr231_3,-14.677531095462168,-7.333692869435012
L6_UTPC_cADpyr231_1,4,L6_UTPC_cADpyr231_4,92.3967498661278,51.67601706832864
L6_UTPC_cADpyr231_1,5,L6_UTPC_cADpyr231_5,-7.011870307173819,-1.8488995899116243
L23_PC_cADpyr229_1,1,L23_PC_cADpyr229_1,60.47221404593835,124.04558393977725
L23_PC_cADpyr229_1,2,L23_PC_cADpyr229_2,-25.95626240456718,-21.24783310419536
L23_PC_cADpyr229_1,3,L23_PC_cADpyr229_3,-14.32570828750761,-0.6452173448374262
L23_PC_cADpyr229_1,4,L23_PC_cADpyr229_4,109.18089951689142,176.54369803069494
L23_PC_cADpyr229_1,5,L23_PC_cADpyr229_5,1.0371339205719667,-5.4526167056277055
L5_UTPC_cADpyr232_1,1,L5_UTPC_cADpyr232_1,-19.625412202104624,-14.993735056570088
L5_UTPC_cADpyr232_1,2,L5_UTPC_cADpyr232_2,-14.60144553427271,-5.277552073427779
L5_UTPC_cADpyr232_1,3,L5_UTPC_cADpyr232_3,-25.160107996240484,-19.683677198168393
L5_UTPC_cADpyr232_1,4,L5_UTPC_cADpyr232_4,-23.24902345912307,-17.88424361578797
L5_UTPC_cADpyr232_1,5,L5_UTPC_cADpyr232_5,-17.28212762291162,-8.906004645963609
L5_STPC_cADpyr232_1,1,L5_STPC_cADpyr232_1,74.52290082632643,52.43396034454305
L5_STPC_cADpyr232_1,2,L5_STPC_cADpyr232_2,-16.08506752630489,-5.164186901404578
L5_STPC_cADpyr232_1,3,L5_STPC_cADpyr232_3,-8.809048583755919,4.546780247773835
L5_STPC_cADpyr232_1,4,L5_STPC_cADpyr232_4,-10.046222010603762,-4.367100223055308
L5_STPC_cADpyr232_1,5,L5_STPC_cADpyr232_5,-16.889206040121362,-12.010569242652352
L6_IPC_cADpyr231_1,1,L6_IPC_cADpyr231_1,-2.9497771839885845,3.0178204499754955
L6_IPC_cADpyr231_1,2,L6_IPC_cADpyr231_2,-26.57459500387343,-22.977674327789366
L6_IPC_cADpyr231_1,3,L6_IPC_cADpyr231_3,24.870866642110293,24.280112762799796
L6_IPC_cADpyr231_1,4,L6_IPC_cADpyr231_4,-7.087197149835539,-1.0227844054573596
L6_IPC_cADpyr231_1,5,L6_IPC_cADpyr231_5,-12.676677269685445,-4.643506322910829
L6_TPC_L4_cADpyr231_1,1,L6_TPC_L4_cADpyr231_1,-16.985381664545713,-10.744560964812862
L6_TPC_L4_cADpyr231_1,2,L6_TPC_L4_cADpyr231_2,-19.975287445468574,-13.482472097344923
L6_TPC_L4_cADpyr231_1,3,L6_TPC_L4_cADpyr231_3,-2.8792833753245337,3.8948808161721766
L6_TPC_L4_cADpyr231_1,4,L6_TPC_L4_cADpyr231_4,-19.791542944656722,-14.190977312442703
L6_TPC_L4_cADpyr231_1,5,L6_TPC_L4_cADpyr231_5,-15.901548719940143,-7.378864338423292
L5_TTPC1_cADpyr232_1,1,L5_TTPC1_cADpyr232_1,-8.726906786572707,-1.349313793847906
L5_TTPC1_cADpyr232_1,2,L5_TTPC1_cADpyr232_2,-16.551652391005135,-11.489367870810693
L5_TTPC1_cADpyr232_1,3,L5_TTPC1_cADpyr232_3,-10.41475134808963,-4.143471601487266
L5_TTPC1_cADpyr232_1,4,L5_TTPC1_cADpyr232_4,-13.030071932486877,-6.956123708596197
L5_TTPC1_cADpyr232_1,5,L5_TTPC1_cADpyr232_5,-4.889661759512199,8.207691206209617
L5_TTPC2_cADpyr232_1,1,L5_TTPC2_cADpyr232_1,1.0997025386699184,20.96812337040128
L5_TTPC2_cADpyr232_1,2,L5_TTPC2_cADpyr232_2,-13.287610325075839,-0.21737836553288933
L5_TTPC2_cADpyr232_1,3,L5_TTPC2_cADpyr232_3,-6.5812376407801665,8.399864499628418
L5_TTPC2_cADpyr232_1,4,L5_TTPC2_cADpyr232_4,-13.3628476951294,-2.0644701850495752
L5_TTPC2_cADpyr232_1,5,L5_TTPC2_cADpyr232_5,7.463034577761274,31.606624368542587
L4_PC_cADpyr230_1,1,L4_PC_cADpyr230_1,95.52181320215324,104.29475991062668
L4_PC_cADpyr230_1,2,L4_PC_cADpyr230_2,-23.84769300697036,-16.010416114499474
L4_PC_cADpyr230_1,3,L4_PC_cADpyr230_3,-24.393856786540606,-17.547846392469623
L4_PC_cADpyr230_1,4,L4_PC_cADpyr230_4,-25.554796531037926,-20.159318395902417
L4_PC_cADpyr230_1,5,L4_PC_cADpyr230_5,-21.460901680688213,-13.206139995187247
L6_BPC_cADpyr231_1,1,L6_BPC_cADpyr231_1,-24.938140260636555,-20.389228435384585
L6_BPC_cADpyr231_1,2,L6_BPC_cADpyr231_2,-11.501780346724503,-5.317806612048778
L6_BPC_cADpyr231_1,3,L6_BPC_cADpyr231_3,-22.454104214695946,-15.892679223228678
L6_BPC_cADpyr231_1,4,L6_BPC_cADpyr231_4,384.84919515254546,-151.53470366931936
L6_BPC_cADpyr231_1,5,L6_BPC_cADpyr231_5,-10.314710413644894,-4.25796147672182
