Param name,Base value
gNaTs2_tbar_NaTs2_t_apical,0.026145
gSKv3_1bar_SKv3_1_apical,0.004226
gImbar_Im_apical,0.000143
gNaTa_tbar_NaTa_t_axonal,3.137968
gK_Tstbar_K_Tst_axonal,0.089259
gamma_CaDynamics_E2_axonal,0.00291
gNap_Et2bar_Nap_Et2_axonal,0.006827
gSK_E2bar_SK_E2_axonal,0.007104
gCa_HVAbar_Ca_HVA_axonal,0.00099
gK_Pstbar_K_Pst_axonal,0.973538
gSKv3_1bar_SKv3_1_axonal,1.021945
decay_CaDynamics_E2_axonal,287.198731
gCa_LVAstbar_Ca_LVAst_axonal,0.008752
gamma_CaDynamics_E2_somatic,0.000609
gSKv3_1bar_SKv3_1_somatic,0.303472
gSK_E2bar_SK_E2_somatic,0.008407
gCa_HVAbar_Ca_HVA_somatic,0.000994
gNaTs2_tbar_NaTs2_t_somatic,0.983955
gIhbar_Ih_somatic,8e-05
decay_CaDynamics_E2_somatic,210.485284
gCa_LVAstbar_Ca_LVAst_somatic,0.000333
gIhbar_Ih_dend,8e-05
