Param name,Base value
gNaTa_tbar_NaTa_t_axonal,3.418459
gK_Tstbar_K_Tst_axonal,0.026009
gamma_CaDynamics_E2_axonal,0.003923
gNap_Et2bar_Nap_Et2_axonal,1e-06
gCa_LVAstbar_Ca_LVAst_axonal,0.002256
gSK_E2bar_SK_E2_axonal,9e-06
gK_Pstbar_K_Pst_axonal,0.025854
gSKv3_1bar_SKv3_1_axonal,0.196957
decay_CaDynamics_E2_axonal,20.715642
e_pas_axonal,-60.250899
g_pas_axonal,2e-06
gImbar_Im_axonal,0.000599
gCabar_Ca_axonal,0.000138
gK_Tstbar_K_Tst_somatic,0.008343
gamma_CaDynamics_E2_somatic,0.000893
gkbar_StochKv_somatic,0.658298
gNap_Et2bar_Nap_Et2_somatic,1e-06
gCa_LVAstbar_Ca_LVAst_somatic,0.005574
gSK_E2bar_SK_E2_somatic,0.0269
gK_Pstbar_K_Pst_somatic,0.502333
gSKv3_1bar_SKv3_1_somatic,0.653374
decay_CaDynamics_E2_somatic,605.033222
e_pas_somatic,-76.498119
g_pas_somatic,5.7e-05
gImbar_Im_somatic,0.000784
gNaTs2_tbar_NaTs2_t_somatic,0.300054
gCabar_Ca_somatic,0.000792
gK_Tstbar_K_Tst_dend,0.00294
gSKv3_1bar_SKv3_1_dend,0.00545
gkbar_StochKv_dend,0.290744
gNap_Et2bar_Nap_Et2_dend,1e-06
gNaTs2_tbar_NaTs2_t_dend,0.004119
gIhbar_Ih_dend,5.1e-05
e_pas_dend,-60.065872
g_pas_dend,6e-06
gImbar_Im_dend,0.000371
