Short Name,Long Name,etype,Number of Varied Params
bbp0000,L1_DAC_bNAC219_1,bNAC,27
bbp0001,L1_DAC_cNAC187_1,cNAC,27
bbp0002,L1_DLAC_cNAC187_1,cNAC,27
bbp0003,L1_HAC_bNAC219_1,bNAC,27
bbp0004,L1_HAC_cIR216_1,cIR,29
bbp0005,L1_HAC_cNAC187_1,cNAC,27
bbp0006,L1_NGC-DA_bNAC219_1,bNAC,27
bbp0007,L1_NGC-DA_cACint209_1,cAC,27
bbp0008,L1_NGC-DA_cNAC187_1,cNAC,27
bbp0009,L1_NGC-DA_cSTUT189_1,cSTUT,29
bbp0010,L1_NGC-SA_cNAC187_1,cNAC,27
bbp0011,L1_SLAC_bNAC219_1,bNAC,27
bbp0012,L1_SLAC_cACint209_1,cAC,27
bbp0013,L1_SLAC_cNAC187_1,cNAC,27
bbp0014,L23_BP_bAC217_1,bAC,27
bbp0015,L23_BP_bIR215_1,bIR,29
bbp0016,L23_BP_bNAC219_1,bNAC,27
bbp0017,L23_BP_cACint209_1,cAC,27
bbp0018,L23_BP_cNAC187_1,cNAC,27
bbp0019,L23_BP_dSTUT214_1,dSTUT,31
bbp0020,L23_BTC_bAC217_1,bAC,27
bbp0021,L23_BTC_bIR215_1,bIR,29
bbp0022,L23_BTC_bNAC219_1,bNAC,27
bbp0023,L23_BTC_cACint209_1,cAC,27
bbp0024,L23_BTC_cNAC187_1,cNAC,27
bbp0025,L23_ChC_cACint209_1,cAC,27
bbp0026,L23_ChC_cNAC187_1,cNAC,27
bbp0027,L23_ChC_dNAC222_1,dNAC,29
bbp0028,L23_DBC_bAC217_1,bAC,27
bbp0029,L23_DBC_bIR215_1,bIR,29
bbp0030,L23_DBC_bNAC219_1,bNAC,27
bbp0031,L23_DBC_cACint209_1,cAC,27
bbp0032,L23_LBC_bAC217_1,bAC,27
bbp0033,L23_LBC_bNAC219_1,bNAC,27
bbp0034,L23_LBC_cACint209_1,cAC,27
