probe_index,probe_label,L1_DAC_cNAC_1_vs_L1_DLAC_cNAC_1,L1_DAC_cNAC_1_vs_L1_HAC_cIR_1,L1_DAC_cNAC_1_vs_L1_NGC-DA_cAC_1,L1_DAC_cNAC_1_vs_L1_NGC-SA_cNAC_1,L1_DAC_cNAC_1_vs_L1_SLAC_cAC_1,L1_DAC_cNAC_1_vs_L4_ChC_cAC_1,L1_DAC_cNAC_1_vs_L4_LBC_cAC_1,L1_DAC_cNAC_1_vs_L4_SBC_cAC_1,L1_DAC_cNAC_1_vs_L5_BP_cNAC_1,L1_DAC_cNAC_1_vs_L5_BTC_cAC_1,L1_DAC_cNAC_1_vs_L5_DBC_bNAC_1,L1_DAC_cNAC_1_vs_L5_MC_cSTUT_1,L1_DAC_cNAC_1_vs_L5_NBC_cSTUT_1,L1_DAC_cNAC_1_vs_L5_NGC_cAC_1,L1_DLAC_cNAC_1_vs_L1_HAC_cIR_1,L1_DLAC_cNAC_1_vs_L1_NGC-DA_cAC_1,L1_DLAC_cNAC_1_vs_L1_NGC-SA_cNAC_1,L1_DLAC_cNAC_1_vs_L1_SLAC_cAC_1,L1_DLAC_cNAC_1_vs_L4_ChC_cAC_1,L1_DLAC_cNAC_1_vs_L4_LBC_cAC_1,L1_DLAC_cNAC_1_vs_L4_SBC_cAC_1,L1_DLAC_cNAC_1_vs_L5_BP_cNAC_1,L1_DLAC_cNAC_1_vs_L5_BTC_cAC_1,L1_DLAC_cNAC_1_vs_L5_DBC_bNAC_1,L1_DLAC_cNAC_1_vs_L5_MC_cSTUT_1,L1_DLAC_cNAC_1_vs_L5_NBC_cSTUT_1,L1_DLAC_cNAC_1_vs_L5_NGC_cAC_1,L1_HAC_cIR_1_vs_L1_NGC-DA_cAC_1,L1_HAC_cIR_1_vs_L1_NGC-SA_cNAC_1,L1_HAC_cIR_1_vs_L1_SLAC_cAC_1,L1_HAC_cIR_1_vs_L4_ChC_cAC_1,L1_HAC_cIR_1_vs_L4_LBC_cAC_1,L1_HAC_cIR_1_vs_L4_SBC_cAC_1,L1_HAC_cIR_1_vs_L5_BP_cNAC_1,L1_HAC_cIR_1_vs_L5_BTC_cAC_1,L1_HAC_cIR_1_vs_L5_DBC_bNAC_1,L1_HAC_cIR_1_vs_L5_MC_cSTUT_1,L1_HAC_cIR_1_vs_L5_NBC_cSTUT_1,L1_HAC_cIR_1_vs_L5_NGC_cAC_1,L1_NGC-DA_cAC_1_vs_L1_NGC-SA_cNAC_1,L1_NGC-DA_cAC_1_vs_L1_SLAC_cAC_1,L1_NGC-DA_cAC_1_vs_L4_ChC_cAC_1,L1_NGC-DA_cAC_1_vs_L4_LBC_cAC_1,L1_NGC-DA_cAC_1_vs_L4_SBC_cAC_1,L1_NGC-DA_cAC_1_vs_L5_BP_cNAC_1,L1_NGC-DA_cAC_1_vs_L5_BTC_cAC_1,L1_NGC-DA_cAC_1_vs_L5_DBC_bNAC_1,L1_NGC-DA_cAC_1_vs_L5_MC_cSTUT_1,L1_NGC-DA_cAC_1_vs_L5_NBC_cSTUT_1,L1_NGC-DA_cAC_1_vs_L5_NGC_cAC_1,L1_NGC-SA_cNAC_1_vs_L1_SLAC_cAC_1,L1_NGC-SA_cNAC_1_vs_L4_ChC_cAC_1,L1_NGC-SA_cNAC_1_vs_L4_LBC_cAC_1,L1_NGC-SA_cNAC_1_vs_L4_SBC_cAC_1,L1_NGC-SA_cNAC_1_vs_L5_BP_cNAC_1,L1_NGC-SA_cNAC_1_vs_L5_BTC_cAC_1,L1_NGC-SA_cNAC_1_vs_L5_DBC_bNAC_1,L1_NGC-SA_cNAC_1_vs_L5_MC_cSTUT_1,L1_NGC-SA_cNAC_1_vs_L5_NBC_cSTUT_1,L1_NGC-SA_cNAC_1_vs_L5_NGC_cAC_1,L1_SLAC_cAC_1_vs_L4_ChC_cAC_1,L1_SLAC_cAC_1_vs_L4_LBC_cAC_1,L1_SLAC_cAC_1_vs_L4_SBC_cAC_1,L1_SLAC_cAC_1_vs_L5_BP_cNAC_1,L1_SLAC_cAC_1_vs_L5_BTC_cAC_1,L1_SLAC_cAC_1_vs_L5_DBC_bNAC_1,L1_SLAC_cAC_1_vs_L5_MC_cSTUT_1,L1_SLAC_cAC_1_vs_L5_NBC_cSTUT_1,L1_SLAC_cAC_1_vs_L5_NGC_cAC_1,L4_ChC_cAC_1_vs_L4_LBC_cAC_1,L4_ChC_cAC_1_vs_L4_SBC_cAC_1,L4_ChC_cAC_1_vs_L5_BP_cNAC_1,L4_ChC_cAC_1_vs_L5_BTC_cAC_1,L4_ChC_cAC_1_vs_L5_DBC_bNAC_1,L4_ChC_cAC_1_vs_L5_MC_cSTUT_1,L4_ChC_cAC_1_vs_L5_NBC_cSTUT_1,L4_ChC_cAC_1_vs_L5_NGC_cAC_1,L4_LBC_cAC_1_vs_L4_SBC_cAC_1,L4_LBC_cAC_1_vs_L5_BP_cNAC_1,L4_LBC_cAC_1_vs_L5_BTC_cAC_1,L4_LBC_cAC_1_vs_L5_DBC_bNAC_1,L4_LBC_cAC_1_vs_L5_MC_cSTUT_1,L4_LBC_cAC_1_vs_L5_NBC_cSTUT_1,L4_LBC_cAC_1_vs_L5_NGC_cAC_1,L4_SBC_cAC_1_vs_L5_BP_cNAC_1,L4_SBC_cAC_1_vs_L5_BTC_cAC_1,L4_SBC_cAC_1_vs_L5_DBC_bNAC_1,L4_SBC_cAC_1_vs_L5_MC_cSTUT_1,L4_SBC_cAC_1_vs_L5_NBC_cSTUT_1,L4_SBC_cAC_1_vs_L5_NGC_cAC_1,L5_BP_cNAC_1_vs_L5_BTC_cAC_1,L5_BP_cNAC_1_vs_L5_DBC_bNAC_1,L5_BP_cNAC_1_vs_L5_MC_cSTUT_1,L5_BP_cNAC_1_vs_L5_NBC_cSTUT_1,L5_BP_cNAC_1_vs_L5_NGC_cAC_1,L5_BTC_cAC_1_vs_L5_DBC_bNAC_1,L5_BTC_cAC_1_vs_L5_MC_cSTUT_1,L5_BTC_cAC_1_vs_L5_NBC_cSTUT_1,L5_BTC_cAC_1_vs_L5_NGC_cAC_1,L5_DBC_bNAC_1_vs_L5_MC_cSTUT_1,L5_DBC_bNAC_1_vs_L5_NBC_cSTUT_1,L5_DBC_bNAC_1_vs_L5_NGC_cAC_1,L5_MC_cSTUT_1_vs_L5_NBC_cSTUT_1,L5_MC_cSTUT_1_vs_L5_NGC_cAC_1,L5_NBC_cSTUT_1_vs_L5_NGC_cAC_1
0,Default_L4_ChC_cAC_1,58.171380135601765,37.89442119635869,62.58215844524796,237.85314823572486,90.02031041034888,153.82695306664718,232.071247589395,78.3667695179875,288.6384353466423,86.44731438083846,315.6014323775229,197.62003317909875,149.81287853533195,157.65661804904028,80.36594689526686,54.84624690840373,223.41656275305183,70.11789893362439,146.1051683962466,216.40585405621536,98.41882790673279,287.56866712626874,70.22464468530588,295.01790679959925,183.67378303896584,162.29805391760044,155.58463591858498,51.8310501262183,252.8861246633776,96.15368611000795,166.17066584081618,245.97368993367226,68.36145763949162,278.14005687470944,106.61873925627035,332.08440474104066,216.80381140216446,164.48623047585193,159.8345913953736,233.08894930649495,78.32892392780535,158.59555591638073,226.68163236398277,81.94579921974065,263.04806140510146,101.16920896149878,307.45662607789603,200.79247623686308,173.13376808279054,157.44694098291973,206.62465896400033,206.99392172599386,90.27074170770219,235.87524122425876,388.2740034745933,192.22964794534226,222.51462082032708,103.49475150231103,268.91019744964825,218.84347521325918,123.95197046697129,184.67950945499962,82.14520529020182,252.9316984401496,54.69236796155966,284.1043580900743,204.11792557439645,145.73843080001114,127.80362288528634,182.5109117632329,150.28602316542057,293.98665187364924,135.31009567411465,305.2339218275611,210.83068337356863,132.2938666649115,20.40337969854612,222.64517847638703,340.0600269334344,172.6650231048509,195.30262783291607,160.1230878536233,242.85660059534655,197.43091031496812,271.27844780675133,83.38835067649369,338.8596491032781,231.7958843520065,140.48094456935033,147.0073789147852,290.077330035605,377.19572977229143,367.0415781290399,269.01403046634465,292.8860486732242,284.64700171017097,188.64471312737413,147.823988529963,147.88823730887538,213.75169143592166,341.38692896239246,321.4554851251752,268.99008795368707,217.43136586395502,140.39941625514962
1,Default_L4_LBC_cAC_1,58.19022758218941,37.94313077879279,62.58420000475368,237.9473234001515,90.03113452509197,153.82639619829328,232.11052585263874,78.38721610741851,288.6373070099087,86.48310226869481,315.5617197570888,197.70712478130645,150.07367512207108,157.68066882578478,80.36060323499278,54.86199242987868,223.51109896312988,70.17447581476348,146.1179139684229,216.43778478700023,98.41256642654301,287.61335432940854,70.27073708335358,294.9643257245607,183.72894006769386,162.5022387942653,155.61419932432057,51.824813907981195,252.9692955196506,96.1696235516218,166.16942350076442,245.96969478099064,68.35188971345642,278.1451222450897,106.62886038312783,332.0298634097054,216.86226422646575,164.72516656649393,159.85612237467404,233.17046385291283,78.36294193131761,158.59913290568073,226.5970278366924,81.94106967375538,263.050391241661,101.22117391694175,307.36660532212915,200.8308580564571,173.3098920788555,157.46560104951865,206.88819828343247,207.28137890504019,90.31323131627488,235.95146816650367,388.3312904870773,192.48096328318903,222.75364204856893,103.45578304087638,269.0991857313513,218.92458344850746,123.93814590958578,184.7817285023741,82.17921786256548,252.8932546468802,54.653437480191094,284.0794694351012,204.40967743813576,145.8531223174311,127.78401126244948,182.50245051731198,150.27788121294867,293.9696455285746,135.29794408802144,305.19455133021523,211.07559491269797,132.43351740740542,20.502527131124925,222.70162243278978,340.4690200800495,172.66167982617378,195.40727782758654,160.50866083622608,242.8530696031406,197.476620721661,271.3007323950732,83.39137616563022,338.8149142212891,231.86277509021906,140.71118048407095,147.0157267106048,290.01978617825733,378.0867126511655,367.25449534105246,268.83103831955896,292.8157722090396,284.5924783430771,188.87898331051582,148.000588603225,147.86566758929052,214.02292341747776,341.15728251320536,321.4275221795527,269.0819842221232,217.71739827743482,140.5558959382517
2,Default_L4_SBC_cAC_1,58.162769956468125,37.87239876514932,62.581431033816585,237.8466679461288,90.01595652043424,153.82733902299117,232.1015229011691,78.3576164885222,288.6387019498738,86.45182518563743,315.59508411354915,197.6022094724148,149.8197383510867,157.64661521732847,80.36854458321642,54.839112892406945,223.40812141563646,70.09222872186703,146.0993070176162,216.43364593402907,98.42165832409951,287.5470234514065,70.2314454894697,295.00857295228786,183.66085714926163,162.30678532805405,155.57197055813498,51.83401460047018,252.88450171727087,96.14687953947302,166.17136972966068,246.00107738877352,68.36608547005724,278.1377021216276,106.6323863750838,332.0840468906558,216.79796273539844,164.49648929894414,159.82563776803048,233.0842547938911,78.31403363991393,158.59391609751322,226.71004997273343,81.9480500733965,263.04681150282914,101.17219976238621,307.4557949355632,200.78076826985185,173.14396043685213,157.43944970317358,206.63900679508856,206.99133704943833,90.32654593734229,235.87809864639814,388.3170857301567,192.2419424827287,222.51756465569633,103.50023792422279,268.9175694455489,218.8478083954704,123.95868712693094,184.72570987323746,82.12966179968636,252.94902585850517,54.68556442138344,284.1178765379197,204.12506251985377,145.7490227649707,127.81269049351708,182.5438147092757,150.2900172152345,293.99423601508784,135.3154148538884,305.2290530533446,210.82039124755283,132.3018167809317,20.364357572787043,222.68256630798444,340.0272096001187,172.70046318163676,195.32374826198367,160.18203006094723,242.868392580364,197.47857778111558,271.2678982965571,83.39700427321901,338.86099443741716,231.79090750543114,140.4942645804783,147.00443075158438,290.05779049801924,377.28972638438864,367.07612813514675,269.0038115774396,292.91587346994504,284.6485178315229,188.649262805581,147.83628736303837,147.89119862069325,213.75568481287095,341.38215425423897,321.45889025037775,268.9939512817105,217.42854099684791,140.40711515937787
3,Default_L5_NGC_cAC_1,58.11792188137528,37.76091133237249,62.5799914202787,237.81782834966697,89.93160580955663,153.8308008640736,231.71325018790475,80.47857181081976,288.63668637304636,85.28796171050482,315.5669331398264,197.51098560032548,149.86097853208992,157.60695572670835,80.38440741615489,54.80311586153197,223.36908754988326,69.93056602692188,146.06820806495986,216.00911546818134,100.40049160682517,287.41857422515403,69.09823444742197,294.96385966840467,183.59435546798858,162.35668307789697,155.5195430907937,51.850913033492645,252.88014629811818,96.19944047063676,166.17653325385203,245.5980664270114,66.21920951841192,278.1249674242958,105.55203717616232,332.088237277593,216.76976367438152,164.55518110017022,159.79208177199115,233.06564937268644,78.39757155256102,158.58504053777148,226.26458339021448,79.78277723931339,263.03789904447876,100.01238690212283,307.45983602022,200.7204851467713,173.20263954053246,157.41745600554532,206.29220351229083,206.98108852763215,91.04486688735244,237.87070390494392,388.53504935217126,193.75495981434227,222.53658153056472,103.52799854339347,268.9609963680795,218.87489735060836,123.5944579928038,183.88632065574532,84.62761384589295,252.3636362449861,53.035978355921586,283.662084560145,203.70005597308113,145.43931579441312,127.47874662992201,182.14466779159642,152.28474010624194,294.03221078489787,134.11019874503313,305.20663551689165,210.76944004995175,132.34677495396753,20.259524041240592,224.3212516146863,339.77757159444536,173.56302746893277,196.04408077990448,161.03336904374572,242.43662947533852,197.17539078343646,273.3964153877967,84.24118526401213,340.84673822757867,233.74317773085616,142.74044417252298,148.97331333800668,288.59821987914,377.71136573660056,367.2655370978136,268.9373652433795,293.02511172674895,285.89606318281596,190.12734557680557,146.68243721527844,146.6686605674289,213.77961750552842,341.3576926169531,321.4735008416208,269.01687029502096,217.41142300710294,140.45310908678238
4,Default_L5_NBC_cSTUT_1,209.30905492455443,140.02367009856323,171.84929277332975,179.46045524265529,155.71514669987195,161.71631540418224,274.51170983412135,141.41013847505798,231.12434769347087,182.68585721233754,322.82457437165453,212.04948800441048,169.74330904618014,171.19759674264785,196.5076792342144,74.61730970744223,159.30713014664298,106.37902642390455,96.89799645706623,192.16220642093327,188.08043941584305,314.54019476540356,70.03125151002908,244.92642561004033,31.573372704954142,262.95307553335414,79.05042863684973,147.10161856816842,177.82026923636957,144.15505973430683,140.58463330866454,203.47723095995974,40.45619332705809,222.9633704140774,159.09055146823314,269.6230836343604,201.95594922164065,216.45718306356432,142.38399381511476,133.56582329773363,49.77082060988985,50.5060392228686,232.6677616989321,133.64352763546643,272.3374244579044,34.01204805987232,283.5790590615756,75.84901363817703,227.4270976326947,13.35867788351917,146.77921712369468,89.07184016667091,180.5216894738607,168.93487484283878,280.8045410615888,113.18139413473656,240.72145497037104,156.93859584132332,228.69266248403724,136.55349424130046,70.12171548319255,236.17619514017375,136.6820948020776,252.37283891362935,52.78077739108155,286.3347331215683,105.17021769183032,202.57512125596287,38.50965587824414,196.5912342175876,126.88183809927966,265.5382520108055,38.40514203300546,250.94177621626122,91.38236308148032,217.16834030176713,52.787935986678335,205.73708621843338,289.05143015628437,205.83612309852666,155.7057303181491,200.80943885339863,278.6438831162776,233.7270249064424,221.1036344555265,145.90010023519886,270.07714782898097,189.65743747298166,215.93143340761443,127.96786820417833,281.64104968352814,341.9229360224999,323.1693331203033,96.6818226577868,266.61012587040295,255.942563415255,61.59328406225773,237.0188494594829,38.45108928674516,235.1436882491628,328.57248006826865,285.59662614855705,269.3174227433383,83.02637068326254,222.17178202163237
5,Default_L5_DBC_bNAC_1,190.5731835154859,159.26050622915955,141.59157984877027,215.36541241035997,66.80585557404873,194.94618843270717,194.39379593119597,115.26310559553775,136.9804207642176,206.32085692485123,250.50366728959443,38.58529333714009,49.369157241123915,142.73448974255868,141.14649249372243,113.57812692828858,146.9238806027528,206.46210911120312,119.96955673920715,160.71382201608404,218.95088659597334,279.78389438399324,104.4579424537724,202.997501014992,199.69824787654468,197.95272257465558,124.21922486441099,32.16367958115036,182.93096727076306,156.95665886655078,149.5239176173058,221.2177634140167,208.64814998030948,242.2084426333787,142.04214598784858,248.64573351843472,178.0220557246026,160.97041371016985,51.65958686649857,160.37528920417924,160.06505791355454,129.30299215065497,197.5701712009228,211.60793680861002,246.78284480779917,114.54463486223214,224.7440853813806,159.16801579598078,143.16227883298703,44.047643982049365,207.60928276582678,151.69578577563604,147.84108475891833,232.83333645070294,305.14191722232147,138.42910573886795,175.15888678607013,195.56773525991147,202.7513782738626,161.93463721714517,197.4544149723294,206.29553337306675,74.54502252551812,136.72034115021907,221.28112385723608,260.75047983511996,70.13988998823682,61.86008834713606,145.87953016636487,208.23531470203622,213.6603940796191,263.26037038833886,145.4006338200814,247.07466779751232,199.6446475895844,208.887009826893,128.0664994221323,232.5120124804357,282.4388636253842,130.02347123124218,108.16746547164149,176.9579683120459,200.67015828192672,192.68684270842962,136.6238870414909,264.21472182406,295.1255952479983,109.68179470776849,103.19780667620137,197.54321414526362,302.85217249756613,348.43978298433905,143.91111304482365,143.75890874375494,234.71870828657796,159.79107111686795,195.20444579713154,205.81259242440427,124.2671977435421,235.25483158821027,248.89790233554442,217.53438191224438,46.03422206675222,157.46185148196983,146.4074976084617
6,Default_L5_BTC_cAC_1,58.129702336958346,37.78958765971471,62.579948951837714,237.8245014802275,90.00344272012109,153.8296315196102,231.72348605805308,80.49335496751883,288.63787853401715,85.41399279229026,315.5734687488791,197.5346341281532,149.84912766610805,157.61516077522907,80.37976257373708,54.81231954875507,223.37837566627107,69.99626909978758,146.07649385693367,216.03434212184897,100.40157540358055,287.4552982411265,69.2307164007929,294.97496176773353,183.61168977600425,162.3427556184657,155.53068753055572,51.8461980697539,252.88051009028644,96.12473768132986,166.17491029223166,245.61202895612533,66.21455591314559,278.128409686982,105.61928639550354,332.0860413840345,216.7767549593874,164.53877505633028,159.79847628494883,233.06927549455875,78.26269250204436,158.58744522482598,226.30154123258467,79.78549529448117,263.04069833280175,100.15754721789892,307.4572520059412,200.73621403501969,173.18616512227058,157.41976677252242,206.69875063071595,206.98323754259889,91.08500100123639,237.8633995410413,388.48049085072506,193.73538840195803,222.5310940485747,103.5210188896315,268.9486622667656,218.86676477604829,123.98786726251578,184.43678104709133,84.04094592038982,253.01313753637106,53.28630473708712,284.17513594925464,204.15739917799021,145.79271615162799,127.84721912542372,182.16464493146185,152.27765722724547,294.02245904770797,134.1154028994822,305.2120108818559,210.78234548662198,132.3342922431713,20.26693620678327,224.3107339046436,339.6368366216261,173.50144784449319,196.0352025149199,161.00645068514302,242.44524239216472,197.16516977045583,273.3986311567654,84.2717006575927,340.84038881981553,233.74557827164182,142.71922577391504,148.97025932120852,288.43151506444883,377.61368793999935,367.2138961653997,268.9573394221474,293.00606848845547,285.86480031134323,190.08459672099588,146.6658519961253,146.64084190542388,213.7726701517486,341.3640469029601,321.47007964290407,269.010286750838,217.4159725063031,140.43985448499222
7,Default_L5_MC_cSTUT_1,209.42534489202245,140.68919047612033,171.8809998834819,179.478905986236,155.60273121918902,161.76841221840468,275.29341312726774,141.39025856432988,230.9609893476108,182.7681177710674,322.4196811715425,212.11431464657272,171.19146461780326,172.28988947031866,200.93857081700492,74.75925843732496,159.49232788821013,106.50099450068933,97.23745022864077,192.01066292505257,188.2388975163154,314.644580020549,70.30195472286078,244.52666310940657,31.536262146114932,261.48902460318055,77.80395419967054,151.5147849984186,182.4264917197189,142.7387709536303,145.28561083628546,212.33483861575544,54.815719264575534,224.10444433056173,163.5023723060497,273.9513769135564,206.55417373400178,214.72164240110848,147.77562180529858,133.61802070434766,49.72649399798942,50.58888453376813,233.76379197109975,133.56981479574873,272.26465740098286,34.36061645457781,283.29106988998257,76.85202433145105,225.9959889450763,12.014649425408978,146.73857939775047,89.13958039475595,181.61369540776002,168.88862965300825,280.5947476208651,113.21441883935736,240.3589570710943,157.1259001498844,227.15560524034402,135.2732698848432,70.21383157091155,237.23553177867367,136.70849534770653,252.28592732606302,52.34696036715619,286.03825470858794,104.94078526893406,204.10748426850398,39.79539338724845,197.72666968490458,126.79484210021745,265.4390560285145,38.46683539228209,250.72269641823885,92.21017991047682,215.71666875758828,52.00294152042205,206.67932380446848,290.2664904928556,206.9024277001488,156.28539911158254,200.9041697760218,278.6103163157797,233.73116048904933,220.90672599861597,145.76521373042095,269.7388066049524,189.76699500346416,214.37289603877446,129.01553191670564,281.34327826017557,342.58085373307546,322.82144804384467,95.25154796179989,267.69833490498036,255.65999634340488,62.37921506052794,235.35805173547874,36.94240470625203,234.83896736055664,327.86597134944145,284.2188717723065,267.3890709968008,82.09671003416614,221.89301623402773
8,Default_L1_DLAC_cNAC_1,209.38753390989262,138.09332570307424,171.8729279273934,179.47470723902381,155.6401448703465,161.7550253861143,276.15882358121115,141.39295181911845,231.01794984025273,182.74285732432895,322.42330852422054,204.65715731386825,172.09751111529914,172.30988079300965,204.91109525447354,74.7155627935351,159.43406078995235,106.46124823214593,97.13237395851631,193.79827351675627,188.180371118964,314.6123508421257,70.21199463293868,244.49324120744302,109.05204056881401,256.7081370556044,77.81141482094907,155.02665017501124,185.75839889164956,140.5034912841998,148.43037529111908,216.65710903498496,57.22481635886568,223.71272102797877,167.06778087801325,277.3566003711662,188.9861019210461,220.93322129131886,151.36455244514647,133.60155834602426,49.737815542873584,50.56144404121153,234.91046933417329,133.58988271380798,272.28690600066744,34.24304192031401,283.2913532246413,95.2592288405577,222.31690743099858,12.033454717033138,146.75012084261704,89.11811167310954,183.02978311161186,168.9006279708576,280.6598524780438,113.20380036774685,240.37028774090396,179.73884335776722,234.8556583853472,135.26184184710797,70.18337254438988,238.38559090836543,136.7008713692626,252.31376643631253,52.4839000489389,286.05220406911747,104.84704654056146,193.44705372914905,39.79753786493092,198.8683608291734,126.82215296699407,265.4700860391978,38.443592158127856,250.72215220462974,110.57674291594881,215.16826595305244,51.85928371510599,207.69072186666713,290.72110459818043,208.05434284998975,158.95492924665,241.27131187539797,286.43122570963084,234.86533921843426,220.9730406970836,145.80399002333613,269.7683978904133,171.08643323379536,223.62594269487434,129.0346962602694,281.4394532205118,342.5931454166835,286.45062324044153,131.66441271436045,267.6936016997341,255.65366119662764,98.25247303480563,231.50237470269562,37.09987861200324,297.1128101077297,337.1595235990349,284.2133518291919,241.5888842506132,93.22194296425997,217.77215440649655
9,Default_L1_NGC-SA_cNAC_1,209.445717624615,138.09000067733,171.88470363807363,179.48055186825007,155.5821895510488,161.77416677772027,274.8246152847466,141.38915498371276,230.92841519042867,182.7810337355444,322.4174224188229,207.21116525263625,172.01233586575012,172.27916643165574,204.974392547036,74.78145005770027,159.52231578643776,106.52188261445404,97.29090764886901,191.56120490481027,188.27144027817235,314.6609675940267,70.35018532936567,244.54429718521004,112.24089841061678,256.7951922988075,77.80087833532887,155.02763531477655,185.77491531728813,140.48167455802826,148.43840750988812,215.15887421555013,57.209711805930155,223.67763017084764,167.05893375535425,277.35843501835376,191.74531596522456,220.9421059698529,151.36519032033505,133.62648452370206,49.72149392708003,50.6034130244572,233.1939048757166,133.56042268917332,272.2534167623561,34.42366663332156,283.29105844113224,98.44876808182491,222.33101907197195,12.00583727752305,146.73302577995437,89.15065103455879,180.93261774951938,168.88316054173208,280.56160079516286,113.22009105498128,240.3533900327273,182.84828981021155,234.80721054666824,135.27926433842117,70.22993282950554,236.66409643949893,136.71235190519343,252.27145951117606,52.27678708660407,286.03144512675686,107.89123040640091,193.43640682095852,39.79502034707181,197.16231191748264,126.78078933527243,265.4231681003067,38.48051997202992,250.72306169416112,113.77787895378725,215.16910421176334,52.07542618228656,206.1592122110053,290.01152285525126,206.3292146442347,155.4824257646687,246.16514461063164,285.6308857656437,233.16764675472854,220.8713948029374,145.74638913436132,269.7238871234604,173.84662400477038,223.56809607756418,129.0065742027075,281.2931686473955,342.57332584737213,288.3455201538846,131.67886671828592,267.70046348044184,255.66356494947718,101.43782643360406,231.405032708344,36.86485110340617,300.1020842209662,337.18206840393475,284.22172546639746,243.96335423901016,96.31192680794271,217.820896783212
