probe_index,probe_label,L23_PC_cADpyr_1_vs_L4_PC_cADpyr_1,L23_PC_cADpyr_1_vs_L4_SP_cADpyr_1,L23_PC_cADpyr_1_vs_L4_SS_cADpyr_1,L23_PC_cADpyr_1_vs_L5_STPC_cADpyr_1,L23_PC_cADpyr_1_vs_L5_TTPC1_cADpyr_1,L23_PC_cADpyr_1_vs_L5_TTPC2_cADpyr_1,L23_PC_cADpyr_1_vs_L5_UTPC_cADpyr_1,L23_PC_cADpyr_1_vs_L6_BPC_cADpyr_1,L23_PC_cADpyr_1_vs_L6_IPC_cADpyr_1,L23_PC_cADpyr_1_vs_L6_TPC_L4_cADpyr_1,L23_PC_cADpyr_1_vs_L6_UTPC_cADpyr_1,L4_PC_cADpyr_1_vs_L4_SP_cADpyr_1,L4_PC_cADpyr_1_vs_L4_SS_cADpyr_1,L4_PC_cADpyr_1_vs_L5_STPC_cADpyr_1,L4_PC_cADpyr_1_vs_L5_TTPC1_cADpyr_1,L4_PC_cADpyr_1_vs_L5_TTPC2_cADpyr_1,L4_PC_cADpyr_1_vs_L5_UTPC_cADpyr_1,L4_PC_cADpyr_1_vs_L6_BPC_cADpyr_1,L4_PC_cADpyr_1_vs_L6_IPC_cADpyr_1,L4_PC_cADpyr_1_vs_L6_TPC_L4_cADpyr_1,L4_PC_cADpyr_1_vs_L6_UTPC_cADpyr_1,L4_SP_cADpyr_1_vs_L4_SS_cADpyr_1,L4_SP_cADpyr_1_vs_L5_STPC_cADpyr_1,L4_SP_cADpyr_1_vs_L5_TTPC1_cADpyr_1,L4_SP_cADpyr_1_vs_L5_TTPC2_cADpyr_1,L4_SP_cADpyr_1_vs_L5_UTPC_cADpyr_1,L4_SP_cADpyr_1_vs_L6_BPC_cADpyr_1,L4_SP_cADpyr_1_vs_L6_IPC_cADpyr_1,L4_SP_cADpyr_1_vs_L6_TPC_L4_cADpyr_1,L4_SP_cADpyr_1_vs_L6_UTPC_cADpyr_1,L4_SS_cADpyr_1_vs_L5_STPC_cADpyr_1,L4_SS_cADpyr_1_vs_L5_TTPC1_cADpyr_1,L4_SS_cADpyr_1_vs_L5_TTPC2_cADpyr_1,L4_SS_cADpyr_1_vs_L5_UTPC_cADpyr_1,L4_SS_cADpyr_1_vs_L6_BPC_cADpyr_1,L4_SS_cADpyr_1_vs_L6_IPC_cADpyr_1,L4_SS_cADpyr_1_vs_L6_TPC_L4_cADpyr_1,L4_SS_cADpyr_1_vs_L6_UTPC_cADpyr_1,L5_STPC_cADpyr_1_vs_L5_TTPC1_cADpyr_1,L5_STPC_cADpyr_1_vs_L5_TTPC2_cADpyr_1,L5_STPC_cADpyr_1_vs_L5_UTPC_cADpyr_1,L5_STPC_cADpyr_1_vs_L6_BPC_cADpyr_1,L5_STPC_cADpyr_1_vs_L6_IPC_cADpyr_1,L5_STPC_cADpyr_1_vs_L6_TPC_L4_cADpyr_1,L5_STPC_cADpyr_1_vs_L6_UTPC_cADpyr_1,L5_TTPC1_cADpyr_1_vs_L5_TTPC2_cADpyr_1,L5_TTPC1_cADpyr_1_vs_L5_UTPC_cADpyr_1,L5_TTPC1_cADpyr_1_vs_L6_BPC_cADpyr_1,L5_TTPC1_cADpyr_1_vs_L6_IPC_cADpyr_1,L5_TTPC1_cADpyr_1_vs_L6_TPC_L4_cADpyr_1,L5_TTPC1_cADpyr_1_vs_L6_UTPC_cADpyr_1,L5_TTPC2_cADpyr_1_vs_L5_UTPC_cADpyr_1,L5_TTPC2_cADpyr_1_vs_L6_BPC_cADpyr_1,L5_TTPC2_cADpyr_1_vs_L6_IPC_cADpyr_1,L5_TTPC2_cADpyr_1_vs_L6_TPC_L4_cADpyr_1,L5_TTPC2_cADpyr_1_vs_L6_UTPC_cADpyr_1,L5_UTPC_cADpyr_1_vs_L6_BPC_cADpyr_1,L5_UTPC_cADpyr_1_vs_L6_IPC_cADpyr_1,L5_UTPC_cADpyr_1_vs_L6_TPC_L4_cADpyr_1,L5_UTPC_cADpyr_1_vs_L6_UTPC_cADpyr_1,L6_BPC_cADpyr_1_vs_L6_IPC_cADpyr_1,L6_BPC_cADpyr_1_vs_L6_TPC_L4_cADpyr_1,L6_BPC_cADpyr_1_vs_L6_UTPC_cADpyr_1,L6_IPC_cADpyr_1_vs_L6_TPC_L4_cADpyr_1,L6_IPC_cADpyr_1_vs_L6_UTPC_cADpyr_1,L6_TPC_L4_cADpyr_1_vs_L6_UTPC_cADpyr_1
0,Default_L4_SS_cADpyr_1,829.9431270087281,1083.4965107715645,2015.115087822188,1838.3982251489135,1803.8172891492388,1617.4170702880501,1696.7447978626105,1653.5662427533034,1457.9595131692406,1972.8463051166848,1586.5505607194725,1113.720629086671,1660.4764138850076,1679.7217421250416,1496.9139644108952,1496.8162342226096,1430.978188693824,1454.686133682855,1273.0366758078321,1427.1770036457965,1327.0597678228662,2089.0028110601784,2276.2453341580895,1907.4018062578643,1990.1259388284357,1794.5796644544973,1887.3021433465117,1647.7157350412424,1947.0617818838173,1678.189346820367,1118.6224544201966,462.32241487540585,599.0333476260345,420.2091670593241,570.3968024295788,673.9022726989641,534.8679626680339,511.00264011150017,894.0518136263878,572.4625339845189,891.1887325643602,764.2382041400703,857.4556972292386,973.5500661506236,900.0566783830275,363.4199609070925,219.3570684638447,376.4669711671419,491.33752508996866,338.45927015214494,335.3952205831049,370.1684899806991,367.10986914711657,562.8803423922246,496.3224015983866,480.5793525891235,278.36249660796454,398.28349826888495,284.9283018035214,197.49164552410193,459.0195668303007,452.0949045574592,391.33387723959214,571.7824062869732,271.70028563492133,390.6570690415576
1,Default_L4_SP_cADpyr_1,254.0894088962853,253.6615744930553,412.2803591337208,193.39452001985194,257.53024459402525,258.408762133091,205.07627083755742,354.98610164245997,330.63080598039295,314.9686893859133,251.85254350700976,51.89151291706052,190.47901114536137,260.80867396370775,378.53805507897766,378.85304257802056,236.42517325643422,126.49195250412347,130.3728425514946,228.58114570156823,209.8040825986039,217.0225900730776,260.4961724439693,377.6899154875435,377.9764457986163,234.14768151136505,147.0645454733438,92.35076960556786,221.64599246537085,205.82728317787218,417.495402219571,534.5062865672924,534.8775927330626,391.2989264533513,282.4978403059897,283.39803835810864,396.6778771931454,373.57670918813153,339.26271218743966,339.1149985760564,172.74881722688406,355.40140264228154,332.0151423120069,314.219240156486,224.94776713207096,20.27401449814961,347.93905437396813,479.79648492416436,455.70653888503153,437.67536876416165,375.87343103412195,348.37499176956317,480.31835942852894,455.9959931511685,437.95951635200623,375.73084925492543,333.00123809371104,307.5195399624961,252.488421834234,136.6806099635045,76.95068532387225,194.58995579178557,302.05915658889194,166.72801030675592,276.2368700195958,209.3715922751106
2,Default_L6_UTPC_cADpyr_1,252.23427971444772,254.1817434410102,244.28494080636108,232.1511097512465,222.50232009972984,247.49139769424033,245.2935985771423,351.8845333323512,326.5884195870923,255.78164820792233,257.81790291337893,13.181423104396295,21.039707508908773,194.50882323130404,349.45273219379436,377.0621070467588,165.9645535876908,234.96645139380024,215.1063488833767,55.8935913484954,133.11780065711412,24.497493053394635,196.77392336504533,350.2550099681381,378.6584946650358,165.89310282891967,237.9626135574323,217.65521954176,52.714281334943,132.80001566962784,200.0275379655845,356.19906085324004,369.1873248957571,176.15940684164661,242.72488853265736,222.5778497335436,66.3966234552056,143.8646762559342,335.82117852272904,363.9825820604205,160.04832786689832,326.69385945704994,303.6071804276514,192.6057684621229,190.8265083838519,99.73379063875903,343.7774869333152,434.8294327863992,409.02724909455736,345.41932305367476,337.10222674756284,376.00353786682336,475.0451726207792,448.9801945199969,383.07436141067586,375.1109016389705,297.67873428992635,276.23905747712024,159.38972398166507,130.40537228622915,48.53145791854373,248.42387380804675,259.72961768594405,227.46323719330866,238.70501167132602,111.54698274867687
3,Default_L23_PC_cADpyr_1,176.25493435606316,169.97258873043822,240.37785190151808,160.58561732106924,285.6296626280333,280.68117475083903,238.01927515131322,294.2252047862704,632.3386460056688,180.3169566488259,175.397631649976,20.196194478466015,82.30537376410037,49.780608085228366,276.4672448892802,297.0613791573387,202.2656998507959,272.3925775492758,600.8981561421389,137.8324111086185,13.807982475380363,88.4742708363666,52.67581769167906,274.5963234984616,291.8958086097882,202.2737264072356,272.7001224581906,598.3063441692436,138.30356629498576,25.29855353787515,118.31847736760565,347.627672550867,367.7468089636702,146.50690615737017,215.27498342648042,544.3040634236638,202.64959896772956,88.43919693285304,269.80688412653205,290.81031068104244,218.8331249144847,283.6040752688455,614.3059748320193,157.31283062199907,51.06156734909757,133.54706197869007,348.94013172313277,384.79194853651165,742.1058107989518,287.70062803475327,276.60724175824316,362.2149258427887,399.78397047017285,751.574847958525,302.9222049622365,296.5075931747376,181.9741916385166,521.4974168021565,86.0971852720981,201.7945263338226,525.0823803854768,237.4920173028554,272.2509351657478,578.0628366273712,600.9268825791474,138.45808727194606
4,Default_L5_UTPC_cADpyr_1,208.5379550238072,22.841026274958946,208.52949947799553,158.89513116308933,427.8731510790703,378.9643409762531,32.288637778755366,271.38955584810867,221.1952365751779,19.138856360522038,97.00318332172087,203.38051959767046,22.986563827437433,228.1954219964135,358.9847974206628,445.3904056058819,235.55431797279138,202.73533955137066,22.284904442877085,205.05888186079198,141.4272408371113,204.0996226712059,160.14686004400087,417.86868032886525,377.89212782413483,50.08163991751079,264.45355404608426,217.06907900837808,21.784715766098998,87.56935123419171,230.81104536769413,372.8967911352024,452.95645906623605,234.54845213138262,206.71950269227193,29.48276181726481,206.73639562774662,150.4966656092926,425.53394535378305,363.88892886028145,186.54492263871094,297.45096769165326,240.7184659625032,159.1839335308221,219.47516359888286,187.58146530050914,457.78544651120563,371.3410076090165,375.899626795842,424.76438369886233,357.3254962382866,409.02302030246307,481.0400573809014,460.53203575726167,378.3847793629561,443.9349215199836,293.7941935913402,244.30640615398636,46.730055808560834,124.00292408068205,213.30626613254975,270.52394182510653,205.19024030122856,217.7014711862462,156.9985303249913,94.35496325060161
5,Default_L5_STPC_cADpyr_1,208.5379550238072,22.841026274958946,208.52949947799553,158.89513116308933,427.8731510790703,378.9643409762531,32.288637778755366,271.38955584810867,221.1952365751779,19.138856360522038,97.00318332172087,203.38051959767046,22.986563827437433,228.1954219964135,358.9847974206628,445.3904056058819,235.55431797279138,202.73533955137066,22.284904442877085,205.05888186079198,141.4272408371113,204.0996226712059,160.14686004400087,417.86868032886525,377.89212782413483,50.08163991751079,264.45355404608426,217.06907900837808,21.784715766098998,87.56935123419171,230.81104536769413,372.8967911352024,452.95645906623605,234.54845213138262,206.71950269227193,29.48276181726481,206.73639562774662,150.4966656092926,425.53394535378305,363.88892886028145,186.54492263871094,297.45096769165326,240.7184659625032,159.1839335308221,219.47516359888286,187.58146530050914,457.78544651120563,371.3410076090165,375.899626795842,424.76438369886233,357.3254962382866,409.02302030246307,481.0400573809014,460.53203575726167,378.3847793629561,443.9349215199836,293.7941935913402,244.30640615398636,46.730055808560834,124.00292408068205,213.30626613254975,270.52394182510653,205.19024030122856,217.7014711862462,156.9985303249913,94.35496325060161
6,Default_L6_IPC_cADpyr_1,252.23427971444772,254.1817434410102,244.28494080636108,232.1511097512465,222.50232009972984,247.49139769424033,245.2935985771423,351.8845333323512,326.5884195870923,255.78164820792233,257.81790291337893,13.181423104396295,21.039707508908773,194.50882323130404,349.45273219379436,377.0621070467588,165.9645535876908,234.96645139380024,215.1063488833767,55.8935913484954,133.11780065711412,24.497493053394635,196.77392336504533,350.2550099681381,378.6584946650358,165.89310282891967,237.9626135574323,217.65521954176,52.714281334943,132.80001566962784,200.0275379655845,356.19906085324004,369.1873248957571,176.15940684164661,242.72488853265736,222.5778497335436,66.3966234552056,143.8646762559342,335.82117852272904,363.9825820604205,160.04832786689832,326.69385945704994,303.6071804276514,192.6057684621229,190.8265083838519,99.73379063875903,343.7774869333152,434.8294327863992,409.02724909455736,345.41932305367476,337.10222674756284,376.00353786682336,475.0451726207792,448.9801945199969,383.07436141067586,375.1109016389705,297.67873428992635,276.23905747712024,159.38972398166507,130.40537228622915,48.53145791854373,248.42387380804675,259.72961768594405,227.46323719330866,238.70501167132602,111.54698274867687
7,Default_L6_TPC_L4_cADpyr_1,252.23427971444772,254.1817434410102,244.28494080636108,232.1511097512465,222.50232009972984,247.49139769424033,245.2935985771423,351.8845333323512,326.5884195870923,255.78164820792233,257.81790291337893,13.181423104396295,21.039707508908773,194.50882323130404,349.45273219379436,377.0621070467588,165.9645535876908,234.96645139380024,215.1063488833767,55.8935913484954,133.11780065711412,24.497493053394635,196.77392336504533,350.2550099681381,378.6584946650358,165.89310282891967,237.9626135574323,217.65521954176,52.714281334943,132.80001566962784,200.0275379655845,356.19906085324004,369.1873248957571,176.15940684164661,242.72488853265736,222.5778497335436,66.3966234552056,143.8646762559342,335.82117852272904,363.9825820604205,160.04832786689832,326.69385945704994,303.6071804276514,192.6057684621229,190.8265083838519,99.73379063875903,343.7774869333152,434.8294327863992,409.02724909455736,345.41932305367476,337.10222674756284,376.00353786682336,475.0451726207792,448.9801945199969,383.07436141067586,375.1109016389705,297.67873428992635,276.23905747712024,159.38972398166507,130.40537228622915,48.53145791854373,248.42387380804675,259.72961768594405,227.46323719330866,238.70501167132602,111.54698274867687
8,Default_L5_TTPC1_cADpyr_1,208.5379550238072,22.841026274958946,208.52949947799553,158.89513116308933,427.8731510790703,378.9643409762531,32.288637778755366,271.38955584810867,221.1952365751779,19.138856360522038,97.00318332172087,203.38051959767046,22.986563827437433,228.1954219964135,358.9847974206628,445.3904056058819,235.55431797279138,202.73533955137066,22.284904442877085,205.05888186079198,141.4272408371113,204.0996226712059,160.14686004400087,417.86868032886525,377.89212782413483,50.08163991751079,264.45355404608426,217.06907900837808,21.784715766098998,87.56935123419171,230.81104536769413,372.8967911352024,452.95645906623605,234.54845213138262,206.71950269227193,29.48276181726481,206.73639562774662,150.4966656092926,425.53394535378305,363.88892886028145,186.54492263871094,297.45096769165326,240.7184659625032,159.1839335308221,219.47516359888286,187.58146530050914,457.78544651120563,371.3410076090165,375.899626795842,424.76438369886233,357.3254962382866,409.02302030246307,481.0400573809014,460.53203575726167,378.3847793629561,443.9349215199836,293.7941935913402,244.30640615398636,46.730055808560834,124.00292408068205,213.30626613254975,270.52394182510653,205.19024030122856,217.7014711862462,156.9985303249913,94.35496325060161
9,Default_L5_TTPC2_cADpyr_1,208.5379550238072,22.841026274958946,208.52949947799553,158.89513116308933,427.8731510790703,378.9643409762531,32.288637778755366,271.38955584810867,221.1952365751779,19.138856360522038,97.00318332172087,203.38051959767046,22.986563827437433,228.1954219964135,358.9847974206628,445.3904056058819,235.55431797279138,202.73533955137066,22.284904442877085,205.05888186079198,141.4272408371113,204.0996226712059,160.14686004400087,417.86868032886525,377.89212782413483,50.08163991751079,264.45355404608426,217.06907900837808,21.784715766098998,87.56935123419171,230.81104536769413,372.8967911352024,452.95645906623605,234.54845213138262,206.71950269227193,29.48276181726481,206.73639562774662,150.4966656092926,425.53394535378305,363.88892886028145,186.54492263871094,297.45096769165326,240.7184659625032,159.1839335308221,219.47516359888286,187.58146530050914,457.78544651120563,371.3410076090165,375.899626795842,424.76438369886233,357.3254962382866,409.02302030246307,481.0400573809014,460.53203575726167,378.3847793629561,443.9349215199836,293.7941935913402,244.30640615398636,46.730055808560834,124.00292408068205,213.30626613254975,270.52394182510653,205.19024030122856,217.7014711862462,156.9985303249913,94.35496325060161
