Param_names,Min_DB,Max_DB
gNaTa_tbar_NaTa_t_axonal,3.418459,3.999855
gK_Tstbar_K_Tst_axonal,0,0.098908
gNap_Et2bar_Nap_Et2_axonal,0,1.00E-06
gCa_LVAstbar_Ca_LVAst_axonal,1.50E-05,0.009986
gSK_E2bar_SK_E2_axonal,9.00E-06,0.005611
gK_Pstbar_K_Pst_axonal,0.001693,0.06846
gSKv3_1bar_SKv3_1_axonal,0.196957,0.517764
g_pas_axonal,2.00E-06,9.40E-05
gImbar_Im_axonal,0.000345,0.000999
gCabar_Ca_axonal,3.00E-06,0.000501
gK_Tstbar_K_Tst_somatic,0.008343,0.092965
gNap_Et2bar_Nap_Et2_somatic,1.00E-06,1.00E-06
gCa_LVAstbar_Ca_LVAst_somatic,0.001067,0.009728
gSK_E2bar_SK_E2_somatic,0.000523,0.0269
gK_Pstbar_K_Pst_somatic,0.000114,0.502333
gSKv3_1bar_SKv3_1_somatic,0.260872,0.653374
g_pas_somatic,2.00E-05,0.0001
gImbar_Im_somatic,8.00E-06,0.000784
gNaTs2_tbar_NaTs2_t_somatic,0.150747,0.395881
gCabar_Ca_somatic,2.80E-05,0.000792
gK_Tstbar_K_Tst_dend,0.001511,0.0095
gSKv3_1bar_SKv3_1_dend,4.10E-05,0.00545
gNap_Et2bar_Nap_Et2_dend,0,1.00E-06
gNaTs2_tbar_NaTs2_t_dend,1.00E-05,0.004119
gIhbar_Ih_dend,2.30E-05,5.20E-05
g_pas_dend,1.00E-06,6.00E-06
gImbar_Im_dend,8.00E-06,0.000371
gkbar_StochKv_somatic,0.104239,0.893658
gkbar_StochKv_dend,0.290744,0.567935
gkbar_KdShu2007_somatic,0.000425,0.000425
gkbar_KdShu2007_dend,0.000483,0.000483
