param_name_excitatory,Params_tovary,pname_Inhibitory,roys  NEW executie decision
gNaTa.tbar.NaTa.t.axn,1,gNaTa.tbar.NaTa.t.axn,1
gK.Tstbar.K.Tst.axn,1,gK.Tstbar.K.Tst.axn,1
gNap.Et2bar.Nap.Et2.axn,1,gNap.Et2bar.Nap.Et2.axn,0
gSK.E2bar.SK.E2.axn,1,gCa.LVAstbar.Ca.LVAst.axn,1
gCa.HVAbar.Ca.HVA.axn,1,gSK.E2bar.SK.E2.axn,1
gK.Pstbar.K.Pst.axn,1,gK.Pstbar.K.Pst.axn,1
gSKv3.1bar.SKv3.1.axn,1,gSKv3.1bar.SKv3.1.axn,1
gCa.LVAstbar.Ca.LVAst.axn,1,g.pas.axn,1
gSKv3.1bar.SKv3.1.som,1,gImbar.Im.axn,1
gSK.E2bar.SK.E2.som,0,gCabar.Ca.axn,1
gCa.HVAbar.Ca.HVA.som,1,gK.Tstbar.K.Tst.som,1
gNaTs2.tbar.NaTs2.t.som,1,gNap.Et2bar.Nap.Et2.som,0
gIhbar.Ih.som,0,gCa.LVAstbar.Ca.LVAst.som,1
gCa.LVAstbar.Ca.LVAst.som,0,gSK.E2bar.SK.E2.som,1
gNaTs2.tbar.NaTs2.t.api,1,gK.Pstbar.K.Pst.som,1
gSKv3.1bar.SKv3.1.api,1,gSKv3.1bar.SKv3.1.som,1
gImbar.Im.api,1,g.pas.som,1
gIhbar.Ih.den,1,gImbar.Im.som,0
,,gNaTs2.tbar.NaTs2.t.som,1
,,gCabar.Ca.som,1
,,gK.Tstbar.K.Tst.den,1
,,gSKv3.1bar.SKv3.1.den,1
,,gNap.Et2bar.Nap.Et2.den,1
,,gNaTs2.tbar.NaTs2.t.den,1
,,gIhbar.Ih.den,1
,,g.pas.den,0
,,gImbar.Im.den,0
,,gkbar.StochKv.som,0
,,gkbar.KdShu2007.som,0
,,gkbar.StochKv.den,1
,,gkbar.KdShu2007.den,1
