Parameters,Values
gNaTs2_tbar_NaTs2_t_apical,0.026145
gSKv3_1bar_SKv3_1_apical,0.004226
gImbar_Im_apical,0.000143
gIhbar_Ih_dend,8e-05
gNaTa_tbar_NaTa_t_axonal,3.137968
gK_Tstbar_K_Tst_axonal,0.089259
gNap_Et2bar_Nap_Et2_axonal,0.006827
gSK_E2bar_SK_E2_axonal,0.007104
gCa_HVAbar_Ca_HVA_axonal,0.00099
gK_Pstbar_K_Pst_axonal,0.973538
gCa_LVAstbar_Ca_LVAst_axonal,0.008752
g_pas_axonal,3e-05
cm_axonal,1.0
gSKv3_1bar_SKv3_1_somatic,0.303472
gNaTs2_tbar_NaTs2_t_somatic,0.983955
gCa_LVAstbar_Ca_LVAst_somatic,0.000333
g_pas_somatic,3e-05
cm_somatic,1.0
e_pas_all,-75.0
