Parameters,Values
gNaTa_tbar_NaTa_t_axonal,3.9787418985966223
gK_Tstbar_K_Tst_axonal,0.0
gNap_Et2bar_Nap_Et2_axonal,0.0
gCa_LVAstbar_Ca_LVAst_axonal,0.00041536397429830667
gSK_E2bar_SK_E2_axonal,0.00292279153848312
gK_Pstbar_K_Pst_axonal,0.006830873878552985
gSKv3_1bar_SKv3_1_axonal,0.3772003652995544
g_pas_axonal,4.356814696545521e-05
gImbar_Im_axonal,0.0006573453415493037
gCabar_Ca_axonal,3.939946800009175e-05
gK_Tstbar_K_Tst_somatic,0.07063595181112396
gNap_Et2bar_Nap_Et2_somatic,1.0000000000000004e-06
gCa_LVAstbar_Ca_LVAst_somatic,0.002468817452386136
gSK_E2bar_SK_E2_somatic,0.004257837334527942
gK_Pstbar_K_Pst_somatic,0.01086323983796013
gSKv3_1bar_SKv3_1_somatic,0.3327439170266364
g_pas_somatic,6.466868163996897e-05
gImbar_Im_somatic,3.4158572874001506e-05
gNaTs2_tbar_NaTs2_t_somatic,0.21742728357193294
gCabar_Ca_somatic,4.916485490009796e-05
gK_Tstbar_K_Tst_dend,0.00541133808809161
gSKv3_1bar_SKv3_1_dend,0.00047955396615128194
gNap_Et2bar_Nap_Et2_dend,0.0
gNaTs2_tbar_NaTs2_t_dend,7.746176404525321e-05
gIhbar_Ih_dend,5.7501890446040745e-05
g_pas_dend,1.0000000000000004e-06
gImbar_Im_dend,1.2073308813167557e-05
gkbar_StochKv_somatic,0.29050864678931476
gkbar_KdShu2007_somatic,0.00042500000000000036
gkbar_StochKv_dend,0.4372524230530348
gkbar_KdShu2007_dend,0.00048300000000000003
