Parameters,Values
gNaTa_tbar_NaTa_t_axonal,3.993125
gK_Tstbar_K_Tst_axonal,0.0
gNap_Et2bar_Nap_Et2_axonal,0.0
gCa_LVAstbar_Ca_LVAst_axonal,0.009986
gSK_E2bar_SK_E2_axonal,0.005611
gK_Pstbar_K_Pst_axonal,0.06846
gSKv3_1bar_SKv3_1_axonal,0.517764
g_pas_axonal,6.3e-05
gImbar_Im_axonal,0.000345
gCabar_Ca_axonal,0.000501
gK_Tstbar_K_Tst_somatic,0.077616
gNap_Et2bar_Nap_Et2_somatic,1e-06
gCa_LVAstbar_Ca_LVAst_somatic,0.009728
gSK_E2bar_SK_E2_somatic,0.002099
gK_Pstbar_K_Pst_somatic,0.000114
gSKv3_1bar_SKv3_1_somatic,0.260872
g_pas_somatic,2e-05
gImbar_Im_somatic,3.2e-05
gNaTs2_tbar_NaTs2_t_somatic,0.395881
gCabar_Ca_somatic,2.8e-05
gK_Tstbar_K_Tst_dend,0.007375
gSKv3_1bar_SKv3_1_dend,4.1e-05
gNap_Et2bar_Nap_Et2_dend,0.0
gNaTs2_tbar_NaTs2_t_dend,0.001373
gIhbar_Ih_dend,3.061427941365591e-05
g_pas_dend,1e-06
gImbar_Im_dend,1.4e-05
gkbar_StochKv_somatic,-1.0
gkbar_KdShu2007_somatic,-1.0
gkbar_StochKv_dend,-1.0
gkbar_KdShu2007_dend,-1.0
