Parameters,Values
gNaTs2_tbar_NaTs2_t_apical,3.32E-02
gSKv3_1bar_SKv3_1_apical,2.28E-04
gImbar_Im_apical,5.10E-05
gIhbar_Ih_dend,4.66E-05
gNaTa_tbar_NaTa_t_axonal,14.8880877
gK_Tstbar_K_Tst_axonal,0.002494034015
gNap_Et2bar_Nap_Et2_axonal,0.002303193095
gSK_E2bar_SK_E2_axonal,0.03243388313
gCa_HVAbar_Ca_HVA_axonal,8.17E-05
gK_Pstbar_K_Pst_axonal,0.5613343753
gCa_LVAstbar_Ca_LVAst_axonal,0.003087491043
g_pas_axonal,8.27E-07
cm_axonal,1
gSKv3_1bar_SKv3_1_somatic,4.48E-01
gNaTs2_tbar_NaTs2_t_somatic,0.7345934743
gCa_LVAstbar_Ca_LVAst_somatic,3.63E-06
g_pas_somatic,8.27E-07
cm_somatic,1
e_pas_all,-75
