Parameters,Values
soma_na12,0.4919775
ais_na12,7.0
soma_na16,0.4919775
ais_na16,7.0
axon_KP,0.973538
axon_K,1.021945
axon_KT,1.7
soma_K,0.08396194779331378
ais_ca,0.00099
ais_KCa,0.007104
dend_na12,5e-05
g_pas_all,7.120456108418523e-07
gSKv3_1bar_SKv3_1_apical,0.004226
gSKv3_1bar_SKv3_1_axonal,0.10219450000000001
gSKv3_1bar_SKv3_1_somatic,0.08396194779331378
gIhbar_Ih_basal,8e-06
gIhbar_Ih_apical,8.451889307448129e-05
gIhbar_Ih_somatic,8e-05
gCa_LVAstbar_Ca_LVAst_axonal,0.0014
gCa_LVAstbar_Ca_LVAst_somatic,0.015144780015217811
gCa_HVAbar_Ca_HVA_axonal,9.9e-05
gCa_HVAbar_Ca_HVA_somatic,0.0003124468461012596
gSK_E2bar_SK_E2_axonal,0.0007104
gSK_E2bar_SK_E2_somatic,0.008407
cm_all,1.0
Ra_all,200.0
e_pas_all,-70.0
node_na,2.0
dend_k,0.004226
gbar_na12,0.24598875
tha_na12,-24.1555
sh_na12,8.88605
thi1_na12,-60.4885
thi2_na12,-77.4169
qa_na12,5.41
qd_na12,0.805834
thinf_na12,-40.115
qinf_na12,5.76033
ar2_na12,1.0
vhalfs_na12,-33.7336
gbar_na16,0.24598875
tha_na16,-33.5
sh_na16,8.0
thi1_na16,-47.5
thi2_na16,-47.5
qa_na16,7.2
qd_na16,0.5
thinf_na16,-51.5
qinf_na16,7.0
ar2_na16,1.0
vhalfs_na16,-26.5
