Parameters,Values
dend_na12,5e-05
soma_na12,0.4919775
ais_na12,5.0
dend_na16,5e-05
soma_na16,0.4919775
ais_na16,7.0
ais_ca,0.00099
ais_KCa,0.007104
axon_KP,0.973538
axon_KT,1.7
axon_K,1.021945
axon_KCA,1.8
axon_HVA,0.00012
axon_LVA,0.0014
node_na,2.0
soma_K,0.08396194779331378
dend_k,0.004226
dend_Ih,8e-05
gpas_all,-1.0
sh_na12,8.0
sh_na16,8.0
cm_all,1.0
e_pas_all,-75.0
gSK_E2bar_SK_E2_somatic,0.02023934993186524
gK_Tstbar_K_Tst_somatic,0.01315314265442069
gamma_CaDynamics_DC0_axonal,0.01275232112975029
gamma_CaDynamics_DC0_apical,0.04517010601950254
gCa_LVAstbar_Ca_LVAst_somatic,0.015144780015217811
gCa_HVAbar_Ca_HVA2_apical,3.4636229677800608e-06
gCa_LVAstbar_Ca_LVAst_dend,0.0007435299945503686
gCa_LVAstbar_Ca_LVAst_apical,0.0009854947364163842
gamma_CaDynamics_DC0_somatic,0.022091065777470664
gamma_CaDynamics_DC0_dend,0.04883429216702996
gK_Pstbar_K_Pst_somatic,0.10031922891367806
gCa_HVAbar_Ca_HVA2_somatic,0.0003124468461012596
gCa_HVAbar_Ca_HVA2_dend,7.449816437034735e-05
decay_CaDynamics_DC0_axonal,285.46128321068517
decay_CaDynamics_DC0_somatic,282.09663415587323
gSKv3_1bar_SKv3_1_axonal,1.021945
